OrderId,OrderStatus,OrderType,IsBusinessOrder,IsReplacementOrder,PurchaseDate,Year,YearMonth,YearQuarter,YearWeek,weekday,LastUpdateDate,LatestShipDate,NumberOfItemsShipped,NumberOfItemsUnshipped,ShipDate,Amount,PostalCode,CountryCode,City,Province,Region
152,Shipped,StandardOrder,0,0,2022-09-07 21:08:38,2022,202209,2022Q3,2022W36,3,2022-09-08 09:05:46,2022-09-08 23:59:59,1,0,2022-09-08 23:59:59,20.99,26900,IT,LODI,LO,LOMBARDIA
265,Shipped,StandardOrder,0,0,2022-09-29 15:16:09,2022,202209,2022Q3,2022W39,4,2022-09-29 20:59:50,2022-09-30 23:59:59,3,0,2022-09-30 23:59:59,67.96,10125,IT,TORINO,TO,PIEMONTE
023,Shipped,StandardOrder,0,0,2022-08-08 19:11:48,2022,202208,2022Q3,2022W32,1,2022-08-09 03:08:05,2022-08-09 23:59:59,1,0,2022-08-09 23:59:59,18.99,16013,IT,CAMPO LIGURE,GE,LIGURIA
094,Shipped,StandardOrder,0,0,2022-08-23 18:09:59,2022,202208,2022Q3,2022W34,2,2022-08-23 22:37:44,2022-08-24 23:59:59,1,0,2022-08-24 23:59:59,18.99,46036,IT,PIEVE DI CORIANO,MN,LOMBARDIA
125,Shipped,StandardOrder,0,0,2022-08-25 21:02:07,2022,202208,2022Q3,2022W34,4,2022-08-30 00:31:04,2022-08-26 23:59:59,1,0,2022-08-26 23:59:59,18.99,40065,IT,PIANORO,BO,EMILIA-ROMAGNA
156,Shipped,StandardOrder,0,0,2022-09-08 14:37:45,2022,202209,2022Q3,2022W36,4,2022-09-09 03:32:39,2022-09-09 23:59:59,1,0,2022-09-09 23:59:59,27.99,00045,IT,GENZANO DI ROMA,RM,LAZIO
480,Shipped,StandardOrder,0,0,2022-10-12 00:04:50,2022,202210,2022Q4,2022W41,3,2022-10-12 23:47:39,2022-10-12 23:59:59,1,0,2022-10-12 23:59:59,19.99,84014,IT,NOCERA INFERIORE,SA,CAMPANIA
107,Shipped,StandardOrder,0,0,2022-08-25 09:59:11,2022,202208,2022Q3,2022W34,4,2022-08-26 03:33:59,2022-08-26 23:59:59,1,0,2022-08-26 23:59:59,18.99,25018,IT,MONTICHIARI,BS,LOMBARDIA
427,Shipped,StandardOrder,0,0,2022-10-09 22:03:38,2022,202210,2022Q4,2022W40,7,2022-10-10 18:59:26,2022-10-10 23:59:59,1,0,2022-10-10 23:59:59,12.99,09131,IT,CAGLIARI,CA,SARDEGNA
198,Shipped,StandardOrder,0,0,2022-09-19 14:44:21,2022,202209,2022Q3,2022W38,1,2022-09-19 18:59:41,2022-09-19 23:59:59,2,0,2022-09-19 23:59:59,69.98,20812,IT,LIMBIATE,MB,LOMBARDIA
200,Shipped,StandardOrder,0,0,2022-09-19 11:00:59,2022,202209,2022Q3,2022W38,1,2022-09-19 23:05:03,2022-09-19 23:59:59,1,0,2022-09-19 23:59:59,34.99,53100,IT,SIENA,SI,TOSCANA
339,Shipped,StandardOrder,0,0,2022-10-05 02:52:19,2022,202210,2022Q4,2022W40,3,2022-10-05 17:47:08,2022-10-06 23:59:59,1,0,2022-10-06 23:59:59,18.99,57017,IT,COLLESALVETTI,LI,TOSCANA
177,Shipped,StandardOrder,0,0,2022-09-15 19:24:26,2022,202209,2022Q3,2022W37,4,2022-09-16 19:24:42,2022-09-16 23:59:59,1,0,2022-09-16 23:59:59,22.99,45011,IT,ADRIA,RO,VENETO
181,Shipped,StandardOrder,0,0,2022-09-15 10:14:02,2022,202209,2022Q3,2022W37,4,2022-09-17 01:57:11,2022-09-16 23:59:59,1,0,2022-09-16 23:59:59,20.99,24010,IT,VEDESETA,BG,LOMBARDIA
199,Shipped,StandardOrder,0,0,2022-09-19 13:50:48,2022,202209,2022Q3,2022W38,1,2022-09-19 22:01:59,2022-09-19 23:59:59,2,0,2022-09-19 23:59:59,69.98,18016,IT,SAN BARTOLOMEO AL MARE,IM,LIGURIA
382,Shipped,StandardOrder,0,0,2022-10-07 18:01:54,2022,202210,2022Q4,2022W40,5,2022-10-07 22:07:38,2022-10-07 23:59:59,1,0,2022-10-07 23:59:59,34.99,83030,IT,SANTA PAOLINA,AV,CAMPANIA
431,Shipped,StandardOrder,0,0,2022-10-10 01:46:43,2022,202210,2022Q4,2022W41,1,2022-10-10 19:50:53,2022-10-10 23:59:59,1,0,2022-10-10 23:59:59,18.99,14100,IT,ASTI,AT,PIEMONTE
490,Shipped,StandardOrder,0,0,2022-10-12 20:42:04,2022,202210,2022Q4,2022W41,3,2022-10-13 18:51:33,2022-10-13 23:59:59,1,0,2022-10-13 23:59:59,19.99,46030,IT,POMPONESCO,MN,LOMBARDIA
